[2024-12-06 13:35:33,590] INFO in __init__: Application startup
[2024-12-06 13:35:34,228] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:35:34,290] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:35:34,605] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 13:35:34,614] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
[2024-12-06 13:35:34,622] INFO in init_db: ²âÊÔÖ°Î»´´½¨Íê³É
[2024-12-06 13:35:34,623] INFO in init_db: ³õÊ¼Êý¾Ý´´½¨Íê³É
[2024-12-06 13:35:34,624] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 13:37:12,400] INFO in __init__: Application startup
[2024-12-06 13:38:38,175] INFO in __init__: Application startup
[2024-12-06 13:38:38,774] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:38:38,841] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:38:39,149] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 13:38:39,158] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
[2024-12-06 13:38:39,167] INFO in init_db: ²âÊÔÖ°Î»´´½¨Íê³É
[2024-12-06 13:38:39,169] INFO in init_db: ³õÊ¼Êý¾Ý´´½¨Íê³É
[2024-12-06 13:38:39,170] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 13:39:43,897] INFO in __init__: Application startup
[2024-12-06 13:39:44,570] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[2024-12-06 13:39:44,572] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-06 13:39:44,578] INFO in _internal:  * Restarting with stat
[2024-12-06 13:39:45,618] INFO in __init__: Application startup
[2024-12-06 13:39:46,557] WARNING in _internal:  * Debugger is active!
[2024-12-06 13:39:46,569] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 13:39:59,369] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 13:39:59] "OPTIONS /api/auth/login HTTP/1.1" 200 -
[2024-12-06 13:39:59,952] INFO in _internal: 127.0.0.1 - - [06/Dec/2024 13:39:59] "[35m[1mPOST /api/auth/login HTTP/1.1[0m" 500 -
[2024-12-06 13:41:16,296] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\config.py', reloading
[2024-12-06 13:41:16,451] INFO in _internal:  * Restarting with stat
[2024-12-06 13:41:17,361] INFO in __init__: Application startup
[2024-12-06 13:41:18,090] WARNING in _internal:  * Debugger is active!
[2024-12-06 13:41:18,105] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 13:41:24,243] INFO in _internal:  * Detected change in 'D:\\personnel_management1\\backend\\clean_db.py', reloading
[2024-12-06 13:41:24,391] INFO in _internal:  * Restarting with stat
[2024-12-06 13:41:25,271] INFO in __init__: Application startup
[2024-12-06 13:41:25,954] WARNING in _internal:  * Debugger is active!
[2024-12-06 13:41:25,968] INFO in _internal:  * Debugger PIN: 134-226-614
[2024-12-06 13:44:52,529] INFO in __init__: Application startup
[2024-12-06 13:48:58,952] INFO in __init__: Application startup
[2024-12-06 13:49:55,610] INFO in __init__: Application startup
[2024-12-06 13:51:12,480] INFO in __init__: Application startup
[2024-12-06 13:51:13,135] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:51:13,419] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:51:13,722] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 13:51:13,734] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
[2024-12-06 13:51:13,736] ERROR in init_db: ³õÊ¼Êý¾Ý´´½¨Ê§°Ü: 'level' is an invalid keyword argument for Position
[2024-12-06 13:51:13,738] ERROR in init_db: Êý¾Ý¿â³õÊ¼»¯Ê§°Ü: 'level' is an invalid keyword argument for Position
